iata,airport,city,state,country,lat,long,cnt
ORD,Chicago O'Hare International,Chicago,IL,USA,33.20277107,-112.461897,25129
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,34.85491752,-113.4275813,21925
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,33.16183286,-113.6869387,20662
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,34.52557711,-113.9064082,17290
DEN,Denver Intl,Denver,CO,USA,32.98573875,-113.4634443,13781
IAH,George Bush Intercontinental,Houston,TX,USA,32.49270536,-114.0066624,13223
SFO,San Francisco International,San Francisco,CA,USA,35.50008616,-112.2284476,12016
LAX,Los Angeles International,Los Angeles,CA,USA,34.07091449,-112.3659022,11797
MCO,Orlando International,Orlando,FL,USA,32.46381639,-111.2808375,10536
CLT,Charlotte/Douglas International,Charlotte,NC,USA,34.72902051,-112.8092854,10490
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,32.66405416,-112.9355465,9898
TPA,Tampa International ,Tampa,FL,USA,35.06724266,-111.0650739,9182
EWR,Newark Intl,Newark,NJ,USA,32.67767943,-113.9480064,8678
LAS,McCarran International,Las Vegas,NV,USA,33.19434403,-113.9727964,8523
PHL,Philadelphia Intl,Philadelphia,PA,USA,34.76772748,-111.0891188,7965
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,32.57690701,-112.8611518,7690
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,33.80621978,-110.6814827,7541
LGA,LaGuardia,New York,NY,USA,33.81827652,-111.6025605,7392
MDW,Chicago Midway,Chicago,IL,USA,34.69724594,-113.9521477,6979
IAD,Washington Dulles International,Chantilly,VA,USA,35.45754466,-111.4524678,6779
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.81655677,-110.3762047,6233
STL,Lambert-St Louis International,St Louis,MO,USA,35.05368038,-111.8279615,6204
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,33.93690495,-111.2745229,6044
JFK,John F Kennedy Intl,New York,NY,USA,32.92345568,-112.9257846,5945
MIA,Miami International,Miami,FL,USA,33.4331282,-110.5017967,5907
BOS,Gen Edw L Logan Intl,Boston,MA,USA,34.67730157,-112.3334633,5627
SMF,Sacramento International,Sacramento,CA,USA,32.85528793,-112.6969892,4943
BWI,Baltimore-Washington International,Baltimore,MD,USA,33.60898399,-112.3769228,4749
SNA,John Wayne /Orange Co,Santa Ana,CA,USA,34.51316119,-110.9396299,4616
MSY,New Orleans International ,New Orleans,LA,USA,34.4467054,-111.1336296,4432
SJC,San Jose International,San Jose,CA,USA,34.58866148,-110.989827,4367
DCA,Ronald Reagan Washington National,Arlington,VA,USA,34.84115806,-111.5407373,4332
PDX,Portland Intl,Portland,OR,USA,34.79865807,-113.4495118,4071
RSW,Southwest Florida International,Ft. Myers,FL,USA,35.38360186,-113.9119024,4057
PBI,Palm Beach International,West Palm Beach,FL,USA,34.19879318,-113.4334377,3972
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.40915207,-114.073373,3896
HOU,William P Hobby,Houston,TX,USA,32.95964626,-111.0817593,3824
SAT,San Antonio International,San Antonio,TX,USA,33.52017736,-112.688792,3654
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,34.2301059,-110.5576967,3616
MCI,Kansas City International,Kansas City,MO,USA,32.91959696,-113.8291751,3403
OAK,Metropolitan Oakland International,Oakland,CA,USA,32.40815658,-113.1042146,3386
PIT,Pittsburgh International,Pittsburgh,PA,USA,35.2356432,-113.7419422,3180
MEM,Memphis International,Memphis,TN,USA,33.6918397,-110.561613,3058
MKE,General Mitchell International,Milwaukee,WI,USA,35.33501174,-110.6106035,3030
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,34.56967071,-112.254637,3015
JAX,Jacksonville International,Jacksonville,FL,USA,33.59677125,-111.6556304,3005
TUS,Tucson International,Tucson,AZ,USA,33.91697708,-113.2384492,2786
